№,Province,District,Sub-District,Neighbourhood,Zip Code,tkgeo_country:idIso,geocotk:idIso
1,ADANA,ALADAĞ(KARSANTI),AKÖREN,CİVANBEY MAH.,01720,TK,TK
2,ADANA,ALADAĞ(KARSANTI),AKÖREN,TEPEBAĞ MAH.,01720,TK,TK
3,ADANA,ALADAĞ(KARSANTI),AKÖREN,YENİ MAH.,01720,TK,TK
4,ADANA,ALADAĞ(KARSANTI),KARSANTI,AKPINAR MAH.,01720,TK,TK
5,ADANA,ALADAĞ(KARSANTI),KARSANTI,BAŞPINAR MAH.,01720,TK,TK
6,ADANA,ALADAĞ(KARSANTI),KARSANTI,MANSURLU MAH.,01720,TK,TK
7,ADANA,ALADAĞ(KARSANTI),KARSANTI,SİNANPAŞA MAH.,01720,TK,TK
8,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,BOZTAHTA KÖYÜ,01720,TK,TK
9,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,BÜYÜKSOFULU KÖYÜ,01720,TK,TK
10,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,CERİTLER KÖYÜ,01720,TK,TK
11,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,DARILIK KÖYÜ,01720,TK,TK
12,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,DAYILAR KÖYÜ,01720,TK,TK
13,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,DÖLEKLİ KÖYÜ,01720,TK,TK
14,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,EĞNER KÖYÜ,01720,TK,TK
15,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,GERDİBİ KÖYÜ,01720,TK,TK
16,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,GÖKÇE KÖYÜ,01720,TK,TK
17,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,İBRİŞİM KÖYÜ,01720,TK,TK
18,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,KABASAKAL KÖYÜ,01720,TK,TK
19,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,KARAHAN KÖYÜ,01720,TK,TK
20,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,KICAK KÖYÜ,01720,TK,TK
21,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,KIŞLAK KÖYÜ,01720,TK,TK
22,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,KIZILDAM KÖYÜ,01720,TK,TK
23,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,KÖKEZ KÖYÜ,01720,TK,TK
24,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,KÖPRÜCEK KÖYÜ,01720,TK,TK
25,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,KÜP KÖYÜ,01720,TK,TK
26,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,MADENLİ KÖYÜ,01720,TK,TK
27,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,MAZILIK KÖYÜ,01720,TK,TK
28,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,TOPALLI KÖYÜ,01720,TK,TK
29,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,UZUNKUYU KÖYÜ,01720,TK,TK
30,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,YAĞBASAN KÖYÜ,01720,TK,TK
31,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,YENİKÖY KÖYÜ,01720,TK,TK
32,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,YETİMLİ KÖYÜ,01720,TK,TK
33,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,YÜKSEKÖREN KÖYÜ,01720,TK,TK
34,ADANA,CEYHAN,BİRKENT,CELİLUŞAĞI MAH.,01920,TK,TK
35,ADANA,CEYHAN,BİRKENT,ESKİKENT MAH.,01920,TK,TK
36,ADANA,CEYHAN,BİRKENT,YENİKENT MAH.,01920,TK,TK
37,ADANA,CEYHAN,BÜYÜKMANGIT,HİLAL MAH.,01920,TK,TK
38,ADANA,CEYHAN,BÜYÜKMANGIT,İSTİKLAL MAH.,01920,TK,TK
39,ADANA,CEYHAN,CEYHAN,ALTIOCAK MAH.,01920,TK,TK
40,ADANA,CEYHAN,CEYHAN,AYTEMİROĞLU MAH.,01920,TK,TK
41,ADANA,CEYHAN,CEYHAN,BELEDİYEEVLERİ MAH.,01920,TK,TK
42,ADANA,CEYHAN,CEYHAN,BOTA MAH.,01920,TK,TK
43,ADANA,CEYHAN,CEYHAN,CİVANTAYAK MAH.,01920,TK,TK
44,ADANA,CEYHAN,CEYHAN,KORUKLU MAH.,01920,TK,TK
45,ADANA,CEYHAN,CEYHAN,KÜÇÜKKIRIM MAH.,01920,TK,TK
46,ADANA,CEYHAN,CEYHAN,ŞEHİTHACIİBRAHİM MAH.,01920,TK,TK
47,ADANA,CEYHAN,CEYHAN,YARSUAT MAH.,01920,TK,TK
48,ADANA,CEYHAN,DORUK,HÜYÜK MAH.,01920,TK,TK
49,ADANA,CEYHAN,DORUK,YEŞİLYURT MAH.,01920,TK,TK
50,ADANA,CEYHAN,DORUK,YÜCE MAH.,01920,TK,TK
51,ADANA,CEYHAN,EMEK,MİTHATPAŞA MAH.,01940,TK,TK
52,ADANA,CEYHAN,EMEK,ŞAHİNÖZBİLEN MAH.,01940,TK,TK
53,ADANA,CEYHAN,EMEK,ULUS MAH.,01940,TK,TK
54,ADANA,CEYHAN,HAMDİLLİ,HAMDİLLİ MAH.,01920,TK,TK
55,ADANA,CEYHAN,KÖSRELİ,BAHÇELİEVLER MAH.,01920,TK,TK
56,ADANA,CEYHAN,KÖSRELİ,CUMHURİYET MAH.,01920,TK,TK
57,ADANA,CEYHAN,KÖSRELİ,DALKIR MAH.,01920,TK,TK
58,ADANA,CEYHAN,KÖSRELİ,DUMLUPINAR MAH.,01920,TK,TK
59,ADANA,CEYHAN,KURTKULAĞI,HÜRRİYET MAH.,01920,TK,TK
60,ADANA,CEYHAN,KURTKULAĞI,İSTİKLAL MAH.,01920,TK,TK
61,ADANA,CEYHAN,KURTPINAR,İNCİRLİ MAH.,01920,TK,TK
62,ADANA,CEYHAN,KURTPINAR,KARATEPE MAH.,01920,TK,TK
63,ADANA,CEYHAN,KURTPINAR,MERKEZ MAH.,01920,TK,TK
64,ADANA,CEYHAN,MERCİMEK,MERKEZ MAH.,01920,TK,TK
65,ADANA,CEYHAN,MERKEZKÖYLER,ADAPINAR KÖYÜ,01920,TK,TK
66,ADANA,CEYHAN,MERKEZKÖYLER,AĞAÇLI KÖYÜ,01920,TK,TK
67,ADANA,CEYHAN,MERKEZKÖYLER,AĞAÇPINAR KÖYÜ,01920,TK,TK
68,ADANA,CEYHAN,MERKEZKÖYLER,AKDAM KÖYÜ,01920,TK,TK
69,ADANA,CEYHAN,MERKEZKÖYLER,ALTIGÖZ KÖYÜ,01920,TK,TK
70,ADANA,CEYHAN,MERKEZKÖYLER,ALTIKARA KÖYÜ,01920,TK,TK
71,ADANA,CEYHAN,MERKEZKÖYLER,AYDINLAR KÖYÜ,01920,TK,TK
72,ADANA,CEYHAN,MERKEZKÖYLER,AZİZLİ KÖYÜ,01920,TK,TK
73,ADANA,CEYHAN,MERKEZKÖYLER,BAŞÖREN KÖYÜ,01920,TK,TK
74,ADANA,CEYHAN,MERKEZKÖYLER,BURHANLI KÖYÜ,01920,TK,TK
75,ADANA,CEYHAN,MERKEZKÖYLER,BÜYÜKBURHANİYE KÖYÜ,01920,TK,TK
76,ADANA,CEYHAN,MERKEZKÖYLER,CAMUZAĞILI KÖYÜ,01920,TK,TK
77,ADANA,CEYHAN,MERKEZKÖYLER,CEYHANBEKİRLİ KÖYÜ,01920,TK,TK
78,ADANA,CEYHAN,MERKEZKÖYLER,ÇAKALDERE KÖYÜ,01920,TK,TK
79,ADANA,CEYHAN,MERKEZKÖYLER,ÇATAKLI KÖYÜ,01920,TK,TK
80,ADANA,CEYHAN,MERKEZKÖYLER,ÇATALHÜYÜK KÖYÜ,01920,TK,TK
81,ADANA,CEYHAN,MERKEZKÖYLER,ÇEVRETEPE KÖYÜ,01920,TK,TK
82,ADANA,CEYHAN,MERKEZKÖYLER,ÇİÇEKLİ KÖYÜ,01920,TK,TK
83,ADANA,CEYHAN,MERKEZKÖYLER,ÇİFTLİKLER KÖYÜ,01920,TK,TK
84,ADANA,CEYHAN,MERKEZKÖYLER,ÇOKÇAPINAR KÖYÜ,01920,TK,TK
85,ADANA,CEYHAN,MERKEZKÖYLER,DAĞISTAN KÖYÜ,01920,TK,TK
86,ADANA,CEYHAN,MERKEZKÖYLER,DEĞİRMENDERE KÖYÜ,01920,TK,TK
87,ADANA,CEYHAN,MERKEZKÖYLER,DEĞİRMENLİ KÖYÜ,01920,TK,TK
88,ADANA,CEYHAN,MERKEZKÖYLER,DİKİLİTAŞ KÖYÜ,01920,TK,TK
89,ADANA,CEYHAN,MERKEZKÖYLER,DOKUZTEKNE KÖYÜ,01920,TK,TK
90,ADANA,CEYHAN,MERKEZKÖYLER,DUMLU KÖYÜ,01920,TK,TK
91,ADANA,CEYHAN,MERKEZKÖYLER,DURHASANDEDE KÖYÜ,01920,TK,TK
92,ADANA,CEYHAN,MERKEZKÖYLER,DUTLUPINAR KÖYÜ,01920,TK,TK
93,ADANA,CEYHAN,MERKEZKÖYLER,EKİNYAZI KÖYÜ,01920,TK,TK
94,ADANA,CEYHAN,MERKEZKÖYLER,ELMAGÖLÜ KÖYÜ,01920,TK,TK
95,ADANA,CEYHAN,MERKEZKÖYLER,ERENLER KÖYÜ,01920,TK,TK
96,ADANA,CEYHAN,MERKEZKÖYLER,GÜMÜRDÜLÜ KÖYÜ,01920,TK,TK
97,ADANA,CEYHAN,MERKEZKÖYLER,GÜNDOĞAN KÖYÜ,01920,TK,TK
98,ADANA,CEYHAN,MERKEZKÖYLER,GÜNLÜCE KÖYÜ,01920,TK,TK
99,ADANA,CEYHAN,MERKEZKÖYLER,GÜNYAZI KÖYÜ,01920,TK,TK
100,ADANA,CEYHAN,MERKEZKÖYLER,HAMİDİYE KÖYÜ,01920,TK,TK
101,ADANA,CEYHAN,MERKEZKÖYLER,HAMİTBEY KÖYÜ,01920,TK,TK
102,ADANA,CEYHAN,MERKEZKÖYLER,HAMİTBEYBUCAĞI KÖYÜ,01920,TK,TK
103,ADANA,CEYHAN,MERKEZKÖYLER,IRMAKLI KÖYÜ,01920,TK,TK
104,ADANA,CEYHAN,MERKEZKÖYLER,ISIRGANLI KÖYÜ,01920,TK,TK
105,ADANA,CEYHAN,MERKEZKÖYLER,İMRAN KÖYÜ,01920,TK,TK
106,ADANA,CEYHAN,MERKEZKÖYLER,İNCETARLA KÖYÜ,01920,TK,TK
107,ADANA,CEYHAN,MERKEZKÖYLER,İNCEYER KÖYÜ,01920,TK,TK
108,ADANA,CEYHAN,MERKEZKÖYLER,İSALI KÖYÜ,01920,TK,TK
109,ADANA,CEYHAN,MERKEZKÖYLER,KARAKAYALI KÖYÜ,01920,TK,TK
110,ADANA,CEYHAN,MERKEZKÖYLER,KILIÇKAYA KÖYÜ,01920,TK,TK
111,ADANA,CEYHAN,MERKEZKÖYLER,KIVRIKLI KÖYÜ,01920,TK,TK
112,ADANA,CEYHAN,MERKEZKÖYLER,KIZILDERE KÖYÜ,01920,TK,TK
113,ADANA,CEYHAN,MERKEZKÖYLER,KÖPRÜLÜ KÖYÜ,01920,TK,TK
114,ADANA,CEYHAN,MERKEZKÖYLER,KÖRKUYU KÖYÜ,01920,TK,TK
115,ADANA,CEYHAN,MERKEZKÖYLER,KUZUCAK KÖYÜ,01920,TK,TK
116,ADANA,CEYHAN,MERKEZKÖYLER,KÜÇÜKBURHANİYE KÖYÜ,01920,TK,TK
117,ADANA,CEYHAN,MERKEZKÖYLER,KÜÇÜKMANGIT KÖYÜ,01920,TK,TK
118,ADANA,CEYHAN,MERKEZKÖYLER,NARLIK KÖYÜ,01920,TK,TK
119,ADANA,CEYHAN,MERKEZKÖYLER,SAĞIRLAR KÖYÜ,01920,TK,TK
120,ADANA,CEYHAN,MERKEZKÖYLER,SARIBAHÇE KÖYÜ,01920,TK,TK
121,ADANA,CEYHAN,MERKEZKÖYLER,SELİMİYE KÖYÜ,01920,TK,TK
122,ADANA,CEYHAN,MERKEZKÖYLER,SİRKELİ KÖYÜ,01920,TK,TK
123,ADANA,CEYHAN,MERKEZKÖYLER,SOĞUKPINAR KÖYÜ,01920,TK,TK
124,ADANA,CEYHAN,MERKEZKÖYLER,SOYSALLI KÖYÜ,01920,TK,TK
125,ADANA,CEYHAN,MERKEZKÖYLER,TATARLI KÖYÜ,01920,TK,TK
126,ADANA,CEYHAN,MERKEZKÖYLER,TATLIKUYU KÖYÜ,01920,TK,TK
127,ADANA,CEYHAN,MERKEZKÖYLER,TOKTAMIŞ KÖYÜ,01920,TK,TK
128,ADANA,CEYHAN,MERKEZKÖYLER,ÜÇDUT KÖYÜ,01920,TK,TK
129,ADANA,CEYHAN,MERKEZKÖYLER,YALAK KÖYÜ,01920,TK,TK
130,ADANA,CEYHAN,MERKEZKÖYLER,YELLİBEL KÖYÜ,01920,TK,TK
131,ADANA,CEYHAN,MERKEZKÖYLER,YENİKÖYNAZIMBEY KÖYÜ,01920,TK,TK
132,ADANA,CEYHAN,MERKEZKÖYLER,YEŞİLBAHÇE KÖYÜ,01920,TK,TK
133,ADANA,CEYHAN,MERKEZKÖYLER,YEŞİLDAM KÖYÜ,01920,TK,TK
134,ADANA,CEYHAN,MERKEZKÖYLER,YILANKALE KÖYÜ,01920,TK,TK
135,ADANA,CEYHAN,MUSTAFABEYLİ,CUMHURİYET MAH.,01920,TK,TK
136,ADANA,CEYHAN,MUSTAFABEYLİ,HÜRRİYET MAH.,01920,TK,TK
137,ADANA,CEYHAN,NAMIKKEMAL,CUMHURİYET MAH.,01950,TK,TK
138,ADANA,CEYHAN,NAMIKKEMAL,GAZİOSMANPAŞA MAH.,01950,TK,TK
139,ADANA,CEYHAN,NAMIKKEMAL,NAMIKKEMAL MAH.,01950,TK,TK
140,ADANA,CEYHAN,SAĞKAYA,SAĞKAYA MAH.,01920,TK,TK
141,ADANA,CEYHAN,SANAYİ,EMEK MAH.,01930,TK,TK
142,ADANA,CEYHAN,SANAYİ,ESENTEPE MAH.,01930,TK,TK
143,ADANA,CEYHAN,SANAYİ,FATİHSULTANMEHMET MAH.,01930,TK,TK
144,ADANA,CEYHAN,SANAYİ,HÜRRİYET MAH.,01930,TK,TK
145,ADANA,CEYHAN,SANAYİ,İNÖNÜ MAH.,01930,TK,TK
146,ADANA,CEYHAN,SARIMAZI,AYDINLI MAH.,01920,TK,TK
147,ADANA,CEYHAN,SARIMAZI,CUMHURİYET MAH.,01920,TK,TK
148,ADANA,CEYHAN,SARIMAZI,ESENTEPE MAH.,01920,TK,TK
149,ADANA,CEYHAN,SARIMAZI,HÜRRİYET MAH.,01920,TK,TK
150,ADANA,CEYHAN,SARIMAZI,LEVENTOĞLU MAH.,01920,TK,TK
151,ADANA,CEYHAN,SARIMAZI,TOROS MAH.,01920,TK,TK
152,ADANA,CEYHAN,TÜRLÜBAŞ,ADATEPE MAH.,01960,TK,TK
153,ADANA,CEYHAN,TÜRLÜBAŞ,AYTEMIROĞLU MAH.,01960,TK,TK
154,ADANA,CEYHAN,TÜRLÜBAŞ,BURHANİYE MAH.,01960,TK,TK
155,ADANA,CEYHAN,TÜRLÜBAŞ,BÜYÜKKIRIM MAH.,01960,TK,TK
156,ADANA,CEYHAN,TÜRLÜBAŞ,İSTİKLAL MAH.,01960,TK,TK
157,ADANA,CEYHAN,TÜRLÜBAŞ,KALTAKİYE MAH.,01960,TK,TK
158,ADANA,CEYHAN,TÜRLÜBAŞ,KELEMETİ MAH.,01960,TK,TK
159,ADANA,CEYHAN,TÜRLÜBAŞ,KONAKOĞLU MAH.,01960,TK,TK
160,ADANA,CEYHAN,TÜRLÜBAŞ,MODERNEVLER MAH.,01960,TK,TK
161,ADANA,CEYHAN,TÜRLÜBAŞ,MURADİYE MAH.,01960,TK,TK
162,ADANA,CEYHAN,TÜRLÜBAŞ,SARISAKAL MAH.,01960,TK,TK
163,ADANA,CEYHAN,TÜRLÜBAŞ,TÜRLÜBAŞ MAH.,01960,TK,TK
164,ADANA,ÇUKUROVA,HUZUREVLERİ,BELEDİYEEVLERİ MAH.,01360,TK,TK
165,ADANA,ÇUKUROVA,HUZUREVLERİ,HUZUREVLERİ MAH.,01360,TK,TK
166,ADANA,ÇUKUROVA,HUZUREVLERİ,YÜZÜNCÜYIL(100.YIL) MAH.,01360,TK,TK
167,ADANA,ÇUKUROVA,MAHFESIĞMAZ,BEYAZEVLER MAH.,01170,TK,TK
168,ADANA,ÇUKUROVA,MAHFESIĞMAZ,ESENTEPE MAH.,01170,TK,TK
169,ADANA,ÇUKUROVA,MAHFESIĞMAZ,GÖKKUYU MAH.,01170,TK,TK
170,ADANA,ÇUKUROVA,MAHFESIĞMAZ,GÜZELYALI MAH.,01170,TK,TK
171,ADANA,ÇUKUROVA,MAHFESIĞMAZ,KABASAKAL MAH.,01170,TK,TK
172,ADANA,ÇUKUROVA,MAHFESIĞMAZ,KARSLILAR MAH.,01170,TK,TK
173,ADANA,ÇUKUROVA,MAHFESIĞMAZ,KOCATEPE MAH.,01170,TK,TK
174,ADANA,ÇUKUROVA,MAHFESIĞMAZ,KURTTEPE MAH.,01170,TK,TK
175,ADANA,ÇUKUROVA,MAHFESIĞMAZ,MAHFESIĞMAZ MAH.,01170,TK,TK
176,ADANA,ÇUKUROVA,MAHFESIĞMAZ,ŞAMBAYADI MAH.,01170,TK,TK
177,ADANA,ÇUKUROVA,MAHFESIĞMAZ,TOROS MAH.,01170,TK,TK
178,ADANA,ÇUKUROVA,MAHFESIĞMAZ,YENİ MAH.,01170,TK,TK
179,ADANA,ÇUKUROVA,MAHFESIĞMAZ,YURT MAH.,01170,TK,TK
180,ADANA,ÇUKUROVA,MERKEZKÖYLER,BOZCALAR KÖYÜ,01170,TK,TK
181,ADANA,ÇUKUROVA,MERKEZKÖYLER,DÖRTLER KÖYÜ,01170,TK,TK
182,ADANA,ÇUKUROVA,MERKEZKÖYLER,FADIL KÖYÜ,01170,TK,TK
183,ADANA,ÇUKUROVA,MERKEZKÖYLER,KABASAKAL KÖYÜ,01170,TK,TK
184,ADANA,ÇUKUROVA,MERKEZKÖYLER,KARAHAN KÖYÜ,01170,TK,TK
185,ADANA,ÇUKUROVA,MERKEZKÖYLER,KÜÇÜKÇINAR KÖYÜ,01170,TK,TK
186,ADANA,ÇUKUROVA,MERKEZKÖYLER,MEMİŞLİ KÖYÜ,01170,TK,TK
187,ADANA,ÇUKUROVA,MERKEZKÖYLER,PİRİLİ KÖYÜ,01170,TK,TK
188,ADANA,ÇUKUROVA,MERKEZKÖYLER,SÖĞÜTLÜ KÖYÜ,01170,TK,TK
189,ADANA,ÇUKUROVA,SALBAŞ,SALBAŞESENTEPE MAH.,01780,TK,TK
190,ADANA,FEKE,FEKE,BELENKÖY MAH.,01660,TK,TK
191,ADANA,FEKE,FEKE,GÖKÇELI MAH.,01660,TK,TK
192,ADANA,FEKE,FEKE,İSLAM MAH.,01660,TK,TK
193,ADANA,FEKE,FEKE,KARACAOĞLAN MAH.,01660,TK,TK
194,ADANA,FEKE,FEKE,KARACAUŞAĞI MAH.,01660,TK,TK
195,ADANA,FEKE,FEKE,KAZANCI MAH.,01660,TK,TK
196,ADANA,FEKE,FEKE,KEKLİKÇİ MAH.,01660,TK,TK
197,ADANA,FEKE,FEKE,SÜLEMİŞLİ(BAHÇELİEVLER) MAH.,01660,TK,TK
198,ADANA,FEKE,FEKE,YEŞİLDÜŞMÜŞ MAH.,01660,TK,TK
199,ADANA,FEKE,MERKEZKÖYLER,AKKAYA KÖYÜ,01660,TK,TK
200,ADANA,FEKE,MERKEZKÖYLER,AKOLUK KÖYÜ,01660,TK,TK
201,ADANA,FEKE,MERKEZKÖYLER,BAĞDATLI KÖYÜ,01660,TK,TK
202,ADANA,FEKE,MERKEZKÖYLER,BAHÇECİK KÖYÜ,01660,TK,TK
203,ADANA,FEKE,MERKEZKÖYLER,ÇANDIRLAR KÖYÜ,01660,TK,TK
204,ADANA,FEKE,MERKEZKÖYLER,ÇONDU KÖYÜ,01660,TK,TK
205,ADANA,FEKE,MERKEZKÖYLER,ÇÜRÜKLER KÖYÜ,01660,TK,TK
206,ADANA,FEKE,MERKEZKÖYLER,DEĞİRMENCİUŞAĞI KÖYÜ,01660,TK,TK
207,ADANA,FEKE,MERKEZKÖYLER,GAFFARUŞAĞI KÖYÜ,01660,TK,TK
208,ADANA,FEKE,MERKEZKÖYLER,GEDİKLİ KÖYÜ,01660,TK,TK
209,ADANA,FEKE,MERKEZKÖYLER,GÖBELLİ KÖYÜ,01660,TK,TK
210,ADANA,FEKE,MERKEZKÖYLER,GÜRÜMZE KÖYÜ,01660,TK,TK
211,ADANA,FEKE,MERKEZKÖYLER,GÜZPINARI KÖYÜ,01660,TK,TK
212,ADANA,FEKE,MERKEZKÖYLER,HIDIRUŞAĞI KÖYÜ,01660,TK,TK
213,ADANA,FEKE,MERKEZKÖYLER,İNCİRCİ KÖYÜ,01660,TK,TK
214,ADANA,FEKE,MERKEZKÖYLER,KALEYÜZÜ KÖYÜ,01660,TK,TK
215,ADANA,FEKE,MERKEZKÖYLER,KAŞALTI KÖYÜ,01660,TK,TK
216,ADANA,FEKE,MERKEZKÖYLER,KAYADİBİ KÖYÜ,01660,TK,TK
217,ADANA,FEKE,MERKEZKÖYLER,KIRIKUŞAĞI KÖYÜ,01660,TK,TK
218,ADANA,FEKE,MERKEZKÖYLER,KISACIKLI KÖYÜ,01660,TK,TK
219,ADANA,FEKE,MERKEZKÖYLER,KIZILYER KÖYÜ,01660,TK,TK
220,ADANA,FEKE,MERKEZKÖYLER,KOÇYAZI KÖYÜ,01660,TK,TK
221,ADANA,FEKE,MERKEZKÖYLER,KONAKKURAN KÖYÜ,01660,TK,TK
222,ADANA,FEKE,MERKEZKÖYLER,KOVUKÇINAR KÖYÜ,01660,TK,TK
223,ADANA,FEKE,MERKEZKÖYLER,MANSURLU KÖYÜ,01660,TK,TK
224,ADANA,FEKE,MERKEZKÖYLER,MUSALAR KÖYÜ,01660,TK,TK
225,ADANA,FEKE,MERKEZKÖYLER,OLUCAK KÖYÜ,01660,TK,TK
226,ADANA,FEKE,MERKEZKÖYLER,ORMANCIK KÖYÜ,01660,TK,TK
227,ADANA,FEKE,MERKEZKÖYLER,ORTAKÖY KÖYÜ,01660,TK,TK
228,ADANA,FEKE,MERKEZKÖYLER,ORUÇLU KÖYÜ,01660,TK,TK
229,ADANA,FEKE,MERKEZKÖYLER,PAŞALI KÖYÜ,01660,TK,TK
230,ADANA,FEKE,MERKEZKÖYLER,SÜPHANDERE KÖYÜ,01660,TK,TK
231,ADANA,FEKE,MERKEZKÖYLER,ŞAHMURATLI KÖYÜ,01660,TK,TK
232,ADANA,FEKE,MERKEZKÖYLER,TENKERLİ KÖYÜ,01660,TK,TK
233,ADANA,FEKE,MERKEZKÖYLER,TOKMANAKLI KÖYÜ,01660,TK,TK
234,ADANA,FEKE,MERKEZKÖYLER,TORTULU KÖYÜ,01660,TK,TK
235,ADANA,FEKE,MERKEZKÖYLER,UĞURLUBAĞ KÖYÜ,01660,TK,TK
236,ADANA,FEKE,MERKEZKÖYLER,YAYLAPINAR KÖYÜ,01660,TK,TK
237,ADANA,FEKE,MERKEZKÖYLER,YEREBAKAN KÖYÜ,01660,TK,TK
238,ADANA,İMAMOĞLU,İMAMOĞLU,ADALET MAH.,01700,TK,TK
239,ADANA,İMAMOĞLU,İMAMOĞLU,CUMHURİYET MAH.,01700,TK,TK
240,ADANA,İMAMOĞLU,İMAMOĞLU,HÜRRİYET MAH.,01700,TK,TK
241,ADANA,İMAMOĞLU,İMAMOĞLU,MENTEŞ MAH.,01700,TK,TK
242,ADANA,İMAMOĞLU,İMAMOĞLU,SAYGEÇİT MAH.,01700,TK,TK
243,ADANA,İMAMOĞLU,İMAMOĞLU,TUNA MAH.,01700,TK,TK
244,ADANA,İMAMOĞLU,MERKEZKÖYLER,AĞZIKARACA KÖYÜ,01700,TK,TK
245,ADANA,İMAMOĞLU,MERKEZKÖYLER,ALAYBEYİ KÖYÜ,01700,TK,TK
246,ADANA,İMAMOĞLU,MERKEZKÖYLER,AYVALI KÖYÜ,01700,TK,TK
247,ADANA,İMAMOĞLU,MERKEZKÖYLER,CAMİLİ KÖYÜ,01700,TK,TK
248,ADANA,İMAMOĞLU,MERKEZKÖYLER,ÇÖRTEN KÖYÜ,01700,TK,TK
